Cluster_ID_DBSCAN,Count
1,60321
-1,25737
3705,3001
477,1615
311,1374
1832,1176
242,750
1264,720
1247,671
2913,590
2025,573
1403,507
692,500
3039,487
682,458
1439,453
675,449
723,422
271,415
3420,389
640,388
1447,377
1538,362
8,327
1281,325
2477,316
1170,311
1564,309
3539,308
1913,307
2470,302
4756,299
200,299
1258,282
1339,277
867,273
1760,267
1386,254
93,252
4729,250
3210,240
811,230
121,225
1675,223
913,212
935,210
2219,210
2616,202
5030,199
1252,197
2285,192
555,187
1449,187
89,185
260,182
1047,178
790,175
169,175
3598,172
774,166
74,166
1052,165
2373,163
1900,159
784,157
1331,153
1936,152
3453,150
134,142
1118,140
147,135
3296,135
1795,128
1780,127
1502,126
38,124
358,124
959,120
216,119
3589,117
5894,116
11,114
751,114
5496,113
293,113
1429,111
809,111
607,111
1907,111
543,103
1029,103
1251,102
23,100
1928,99
5522,99
956,99
2815,99
808,99
1362,98
972,98
162,97
2291,95
1722,95
3118,95
1145,93
800,91
305,91
2746,90
712,90
4231,89
4560,88
2089,84
143,83
934,82
653,82
5008,81
685,81
3500,80
1498,79
795,78
814,77
1615,77
2707,76
1241,76
945,75
1032,75
1141,73
750,73
2899,72
369,72
279,71
742,70
1634,70
1006,69
449,69
698,68
4582,68
2701,67
26,67
92,67
5310,67
929,66
2237,65
1657,64
3424,64
2181,64
3443,63
1678,63
1016,63
612,62
1240,62
964,62
3533,61
864,59
3986,59
1700,58
3205,58
3674,58
965,57
906,56
2753,56
5277,56
202,55
914,55
4936,55
963,54
4736,54
574,53
1485,53
3378,53
5337,52
5809,52
5573,52
1604,51
1411,51
1209,50
478,49
1437,49
507,48
4683,48
3119,48
1441,47
2272,47
986,47
837,47
5028,47
485,47
5984,45
4539,45
2760,45
1244,44
4517,44
4063,44
2247,44
1159,43
5349,43
1931,43
2084,42
1283,42
1134,42
1271,41
1442,41
3462,41
2999,41
1571,41
5021,41
992,41
2083,40
3941,40
452,39
3958,39
65,39
754,39
1406,39
1000,39
1084,38
559,38
4550,38
2165,38
2011,38
1859,37
2603,36
1324,36
21,36
2894,36
132,36
1583,36
336,35
1878,35
203,35
1151,35
1555,34
5914,34
3545,34
205,34
129,34
697,34
3125,33
3331,33
3138,33
1631,33
5128,33
2095,32
2341,32
3531,32
435,32
1085,31
83,31
1385,31
1871,31
1450,30
2076,30
2391,30
20,30
2303,30
78,30
3896,29
18,29
2309,29
5534,29
1692,29
2614,29
4228,29
1810,28
971,28
1676,28
2256,28
2565,28
1889,27
2991,27
813,27
4345,27
1341,26
9,26
1201,26
1554,25
3603,25
119,25
2344,24
5769,24
2739,24
1059,24
2514,24
2836,24
2809,24
1267,23
2738,23
1265,23
1326,23
2010,22
1282,22
1663,22
1611,22
5222,21
4127,21
679,21
1262,21
2221,21
1748,21
995,21
414,21
2111,21
2298,21
2055,21
639,20
1279,20
2315,20
4318,20
1542,20
2387,20
1518,20
2967,20
1912,20
4325,19
237,19
3090,19
196,19
104,19
1916,19
2653,19
2824,19
4072,19
849,19
1310,18
866,18
4881,18
806,18
268,18
1167,18
1152,18
974,18
4677,18
6054,18
3552,18
2852,18
330,18
2340,18
107,18
2393,18
1854,17
2436,17
3422,17
2263,17
4187,17
860,17
1398,17
4620,17
624,17
3722,17
1237,17
1245,17
5233,17
1395,16
5253,16
1470,16
2769,16
4720,16
2245,16
783,16
775,16
652,16
4584,16
2473,16
4242,16
1839,16
505,16
357,16
2534,16
3014,15
5580,15
4186,15
2618,15
2641,15
767,15
3984,15
3853,15
1720,14
3455,14
1778,14
2530,14
3518,14
4502,14
3170,14
3611,14
5356,14
4320,14
1130,14
1017,14
1841,14
2392,14
2205,14
2568,14
1690,14
337,14
3297,14
4725,14
32,14
1261,13
711,13
1287,13
4794,13
1168,13
1142,13
895,13
1014,13
5232,13
1319,13
1364,13
1779,13
3206,13
3431,13
1964,13
1509,13
1528,13
3927,13
1627,13
5251,13
1919,12
4052,12
990,12
896,12
5285,12
1574,12
1010,12
4902,12
1852,12
2635,12
4906,12
3594,12
4964,12
1809,12
64,12
2546,12
2816,12
1493,12
3486,12
2004,12
2841,12
3088,12
1274,12
1172,12
4355,12
1344,12
4407,12
1986,12
4533,12
2065,12
4892,11
3421,11
601,11
269,11
3427,11
3801,11
2381,11
4389,11
103,11
3507,11
2520,11
2663,11
2646,11
1922,11
4095,11
1184,11
3313,11
1182,11
2137,11
970,11
3135,11
5240,10
2754,10
5125,10
5900,10
2535,10
5519,10
1713,10
925,10
3261,10
482,10
918,10
695,10
4460,10
689,10
3275,10
6052,10
4230,10
1294,10
4011,10
3613,9
5092,9
2791,9
4501,9
4049,9
4055,9
4039,9
5126,9
5613,9
5732,9
5867,9
5924,9
1977,9
1174,9
1608,9
2295,9
1001,9
61,9
2,9
737,9
2442,9
1436,9
1966,9
2642,8
4749,8
683,8
3037,8
5254,8
3819,8
5610,8
3077,8
1491,8
2254,8
2239,8
2116,8
4313,8
4066,8
1589,8
799,8
3661,8
3564,8
5461,8
5360,8
1763,8
1757,8
6121,8
5494,8
3534,8
5677,8
2217,8
1674,8
4912,8
1680,8
3027,7
2945,7
1851,7
5736,7
1462,7
1472,7
3317,7
4045,7
3202,7
1980,7
4022,7
3023,7
3672,7
1746,7
1508,7
1540,7
3937,7
3098,7
1592,7
3517,7
3133,7
5293,7
5341,7
5481,7
1399,7
579,7
278,7
2403,7
5723,7
4519,7
5085,7
5127,7
816,7
2559,7
4367,7
2242,7
2235,7
1334,7
5715,7
2787,7
4900,7
5619,7
1062,7
3576,6
1698,6
5333,6
5162,6
4944,6
4977,6
4949,6
6063,6
1665,6
6105,6
5123,6
5131,6
1803,6
1847,6
5132,6
1869,6
5133,6
3359,6
618,6
4899,6
2471,6
3623,6
4068,6
4214,6
1336,6
1318,6
1309,6
5963,6
1266,6
4515,6
3980,6
1544,6
1573,6
5224,6
1129,6
3845,6
3823,6
4678,6
4680,6
3756,6
4708,6
836,6
4895,6
4087,6
3632,6
2453,6
1633,6
2140,6
2297,6
2437,6
1954,6
5583,6
2022,6
2424,6
2258,6
2125,6
5617,6
5881,6
2509,6
3021,6
2506,6
3115,6
3121,6
3291,6
2001,6
3150,6
1920,6
898,5
2009,5
2330,5
5221,5
5223,5
5866,5
2380,5
5872,5
5910,5
3569,5
985,5
1628,5
1175,5
991,5
4376,5
4241,5
5950,5
4130,5
4315,5
4126,5
2775,5
5246,5
4335,5
2189,5
5243,5
4538,5
1268,5
1490,5
2969,5
4484,5
2987,5
1207,5
2074,5
3559,5
3871,5
5620,5
5605,5
3558,5
198,5
3428,5
5022,5
2508,5
3198,5
63,5
5154,5
3231,5
1941,5
6128,5
3215,5
5054,5
3214,5
5422,5
1842,5
3442,5
1958,5
5648,5
5134,5
2577,5
1715,5
5137,5
3537,5
3536,5
2390,5
5636,5
5981,4
5138,4
2781,4
5090,4
5226,4
5943,4
1250,4
4441,4
2497,4
5142,4
4391,4
5130,4
5099,4
5143,4
4317,4
5606,4
5245,4
2776,4
2450,4
1275,4
4336,4
4359,4
5041,4
6013,4
2259,4
2585,4
5186,4
4925,4
2382,4
2361,4
2622,4
2223,4
2325,4
2316,4
4943,4
834,4
5188,4
5202,4
2680,4
5214,4
4695,4
976,4
2692,4
2693,4
5160,4
6114,4
5031,4
5033,4
5724,4
5731,4
4542,4
5158,4
2721,4
4907,4
3292,4
5933,4
1857,4
3820,4
5377,4
1805,4
1833,4
5526,4
3750,4
2048,4
3806,4
2062,4
1546,4
3013,4
1843,4
5911,4
3425,4
3869,4
2073,4
3002,4
1617,4
3049,4
3461,4
3633,4
1717,4
5336,4
1701,4
3549,4
1699,4
1970,4
5502,4
3608,4
3609,4
3188,4
3620,4
1762,4
3628,4
3089,4
3479,4
5898,4
1719,4
2094,4
4119,4
1452,4
4098,4
5890,4
5597,4
5482,4
4064,4
2842,4
1480,4
2122,4
1483,4
2203,4
5733,4
5259,4
2799,4
1872,4
4165,4
5936,4
4211,4
1921,4
3987,4
2195,4
5662,3
5484,3
5490,3
5901,3
5885,3
5339,3
5495,3
5483,3
5642,3
5893,3
5156,3
5153,3
5627,3
5641,3
5151,3
5462,3
5155,3
5493,3
5899,3
5157,3
5474,3
5144,3
5480,3
5159,3
5357,3
5250,3
5318,3
5902,3
5875,3
5227,3
5980,3
5274,3
5236,3
5806,3
5977,3
5239,3
5241,3
5244,3
5255,3
5603,3
5140,3
5247,3
5956,3
5931,3
5882,3
5935,3
5275,3
5225,3
5608,3
5604,3
5520,3
5330,3
5329,3
5618,3
5720,3
6051,3
5326,3
5904,3
5609,3
6050,3
5907,3
5294,3
5611,3
6015,3
5820,3
6014,3
5141,3
2655,3
5139,3
2439,3
2399,3
2338,3
2293,3
2274,3
2273,3
2264,3
2243,3
2200,3
2178,3
2139,3
2105,3
2075,3
2068,3
2058,3
2020,3
2013,3
1981,3
2414,3
2478,3
3020,3
2510,3
2997,3
2986,3
2828,3
2786,3
2783,3
2741,3
2720,3
2719,3
2704,3
2699,3
2672,3
2662,3
0,3
2601,3
2586,3
2538,3
2537,3
1940,3
1914,3
1905,3
1881,3
1270,3
1257,3
1249,3
1246,3
1217,3
1176,3
1173,3
1079,3
973,3
943,3
802,3
285,3
213,3
151,3
127,3
101,3
70,3
1278,3
1327,3
1333,3
1622,3
1880,3
1873,3
1858,3
1802,3
1800,3
1744,3
1712,3
1616,3
1355,3
1607,3
1591,3
1513,3
1482,3
1396,3
1384,3
1356,3
3008,3
3036,3
5136,3
4535,3
4459,3
4458,3
4457,3
4451,3
4448,3
4406,3
4394,3
4393,3
4387,3
4377,3
4366,3
4333,3
4326,3
4212,3
4138,3
4129,3
4118,3
4505,3
4691,3
3040,3
4696,3
5135,3
5129,3
5124,3
5102,3
5100,3
5073,3
5071,3
5055,3
5038,3
5032,3
5027,3
4921,3
4905,3
4712,3
4710,3
4706,3
4704,3
4065,3
4032,3
4017,3
4014,3
3419,3
3403,3
3357,3
3356,3
3349,3
3348,3
3330,3
3310,3
3299,3
3273,3
3163,3
3157,3
3142,3
3126,3
3117,3
3103,3
3102,3
3451,3
3456,3
3471,3
3617,3
3988,3
3864,3
3751,3
3720,3
3665,3
3646,3
3644,3
3616,3
3476,3
3570,3
3544,3
3526,3
3525,3
3513,3
3506,3
3477,3
6141,3
